Order ID,Order Date,Product Name,Category,Region,Quantity,Sales,Profit,Year,Month,Profit Margin %,,Total Sales,Total Profit,Total Orders
149,26-11-24,Mouse,Accessories,West,6,888,210.39,2024,November,2369.26%,,,,
150,19-09-24,Laptop,Electronics,West,5,3280,954.17,2024,September,2909.05%,,,,
151,20-07-23,Mouse,Accessories,South,7,1239,177.39,2023,July,1431.72%,,,,
152,03-05-24,Headphones,Accessories,East,8,5880,436.85,2024,May,742.94%,,,,
153,03-09-22,Smartphone,Electronics,West,2,1668,437.3,2022,September,2621.70%,,,,
154,09-07-24,Printer,Office,West,7,4109,1037.64,2024,July,2525.29%,,,,
155,17-11-22,Smartwatch,Electronics,West,7,595,148.5,2022,November,2495.80%,,,,
156,28-12-23,Headphones,Accessories,East,7,8155,1587.91,2023,December,1947.16%,,,,
157,30-05-22,Monitor,Accessories,South,3,1872,553.1,2022,May,2954.59%,,,,
158,17-04-24,Smartwatch,Electronics,East,6,2124,126.03,2024,April,593.36%,,,,
159,30-09-24,Monitor,Accessories,West,5,5210,1338.8,2024,September,2569.67%,,,,
160,02-06-24,Mouse,Accessories,South,7,5761,362.48,2024,June,629.20%,,,,
161,26-09-22,Headphones,Accessories,South,7,6895,1596.35,2022,September,2315.23%,,,,
162,17-12-24,Smartwatch,Electronics,East,3,2118,317.08,2024,December,1497.07%,,,,
163,09-10-24,Smartwatch,Electronics,North,5,830,58.28,2024,October,702.17%,,,,
164,14-07-23,Smartwatch,Electronics,North,1,851,93.56,2023,July,1099.41%,,,,
165,05-12-23,Tablet,Electronics,East,5,4730,1365.63,2023,December,2887.17%,,,,
166,03-06-22,Mouse,Accessories,West,6,5460,845.75,2022,June,1548.99%,,,,
167,28-12-24,Headphones,Accessories,East,5,5795,310.6,2024,December,535.98%,,,,
168,06-08-22,Laptop,Electronics,South,4,2008,338.44,2022,August,1685.46%,,,,
169,06-06-23,Mouse,Accessories,South,7,2842,425.24,2023,June,1496.27%,,,,
170,01-02-24,Mouse,Accessories,East,4,3404,392.22,2024,February,1152.23%,,,,
171,31-05-23,Smartwatch,Electronics,West,1,1065,228.63,2023,May,2146.76%,,,,
172,14-06-24,Tablet,Electronics,West,7,2149,121.69,2024,June,566.26%,,,,
173,14-08-24,Keyboard,Accessories,East,8,5912,1143.04,2024,August,1933.42%,,,,
174,01-02-23,Mouse,Accessories,West,3,3348,331.28,2023,February,989.49%,,,,
175,28-04-24,Smartphone,Electronics,South,3,2409,531.79,2024,April,2207.51%,,,,
176,05-04-24,Tablet,Electronics,North,2,328,39.51,2024,April,1204.57%,,,,
177,31-01-24,Smartphone,Electronics,West,8,6224,1561.42,2024,January,2508.71%,,,,
178,09-01-24,Smartwatch,Electronics,North,5,2530,486.09,2024,January,1921.30%,,,,
179,06-04-22,Headphones,Accessories,West,4,4108,462.17,2022,April,1125.05%,,,,
180,22-05-24,Printer,Office,South,5,1640,391.36,2024,May,2386.34%,,,,
181,30-12-23,Laptop,Electronics,South,1,111,19.33,2023,December,1741.44%,,,,
182,17-03-22,Headphones,Accessories,North,1,445,128.89,2022,March,2896.40%,,,,
183,24-05-22,Printer,Office,North,4,3600,623.72,2022,May,1732.56%,,,,
184,09-06-24,Mouse,Accessories,North,3,1335,176.44,2024,June,1321.65%,,,,
185,01-12-24,Keyboard,Accessories,South,5,3090,242.15,2024,December,783.66%,,,,
186,20-10-23,Printer,Office,East,5,3910,538.52,2023,October,1377.29%,,,,
187,05-03-24,Camera,Electronics,South,1,219,32.67,2024,March,1491.78%,,,,
188,05-12-22,Smartphone,Electronics,West,5,390,27.77,2022,December,712.05%,,,,
189,05-08-22,Laptop,Electronics,North,6,3294,359.61,2022,August,1091.71%,,,,
190,21-03-23,Keyboard,Accessories,West,4,4572,1038.05,2023,March,2270.45%,,,,
191,08-02-22,Monitor,Accessories,South,7,980,109.94,2022,February,1121.84%,,,,
192,01-04-23,Headphones,Accessories,North,2,2262,532.12,2023,April,2352.43%,,,,
193,14-12-22,Camera,Electronics,South,7,7518,1655.91,2022,December,2202.59%,,,,
194,14-05-22,Camera,Electronics,South,1,873,158.97,2022,May,1820.96%,,,,
195,16-02-22,Mouse,Accessories,North,6,1512,423.03,2022,February,2797.82%,,,,
196,28-08-24,Laptop,Electronics,West,1,705,165.16,2024,August,2342.70%,,,,
197,30-10-23,Smartwatch,Electronics,North,8,3256,533.7,2023,October,1639.13%,,,,
198,24-06-23,Tablet,Electronics,West,4,556,81.77,2023,June,1470.68%,,,,
199,17-05-23,Mouse,Accessories,East,9,7101,2105.82,2023,May,2965.53%,,,,
200,06-04-23,Laptop,Electronics,West,9,8802,1344.96,2023,April,1528.02%,,,,
201,26-03-23,Headphones,Accessories,South,6,5592,1294.16,2023,March,2314.31%,,,,
202,12-10-24,Tablet,Electronics,North,2,1852,168.92,2024,October,912.10%,,,,
203,26-06-22,Monitor,Accessories,East,1,195,57.88,2022,June,2968.21%,,,,
204,15-04-22,Mouse,Accessories,East,9,7884,2054.02,2022,April,2605.30%,,,,
205,10-12-23,Laptop,Electronics,East,5,4360,1160.55,2023,December,2661.81%,,,,
206,23-09-24,Mouse,Accessories,North,6,4920,929.18,2024,September,1888.58%,,,,
207,01-01-22,Mouse,Accessories,East,3,3474,565,2022,January,1626.37%,,,,
208,03-02-22,Keyboard,Accessories,West,1,930,222.5,2022,February,2392.47%,,,,
209,14-03-23,Tablet,Electronics,South,7,1421,248.02,2023,March,1745.39%,,,,
210,24-08-22,Headphones,Accessories,North,2,634,161.1,2022,August,2541.01%,,,,
211,07-07-24,Camera,Electronics,East,1,673,114.42,2024,July,1700.15%,,,,
212,13-04-22,Mouse,Accessories,South,5,3135,787.7,2022,April,2512.60%,,,,
213,08-05-24,Smartphone,Electronics,East,6,882,184.48,2024,May,2091.61%,,,,
214,10-09-24,Smartphone,Electronics,East,4,1192,212.77,2024,September,1784.98%,,,,
215,18-06-24,Printer,Office,South,3,390,112.08,2024,June,2873.85%,,,,
216,10-09-24,Tablet,Electronics,North,1,834,95.54,2024,September,1145.56%,,,,
217,06-05-22,Smartphone,Electronics,East,6,612,83.75,2022,May,1368.46%,,,,
218,18-06-24,Headphones,Accessories,West,9,8073,710.23,2024,June,879.76%,,,,
219,29-10-23,Keyboard,Accessories,North,8,2640,723.88,2023,October,2741.97%,,,,
220,13-11-23,Smartphone,Electronics,North,3,3234,440.7,2023,November,1362.71%,,,,
221,21-08-22,Monitor,Accessories,West,5,4435,355.51,2022,August,801.60%,,,,
222,04-03-24,Smartwatch,Electronics,North,2,2302,305.07,2024,March,1325.24%,,,,
223,17-04-22,Camera,Electronics,East,6,1728,307.44,2022,April,1779.17%,,,,
224,20-12-23,Laptop,Electronics,East,4,228,54.05,2023,December,2370.61%,,,,
225,19-03-22,Tablet,Electronics,West,6,3450,705.74,2022,March,2045.62%,,,,
226,07-07-24,Smartphone,Electronics,South,8,7456,1702.48,2024,July,2283.37%,,,,
227,30-04-23,Smartphone,Electronics,West,6,4728,705.85,2023,April,1492.91%,,,,
228,22-03-24,Smartwatch,Electronics,North,7,945,124.62,2024,March,1318.73%,,,,
229,08-03-22,Laptop,Electronics,North,4,296,65.05,2022,March,2197.64%,,,,
230,15-09-23,Smartphone,Electronics,West,4,640,149.89,2023,September,2342.03%,,,,
231,01-03-23,Tablet,Electronics,North,1,797,65.27,2023,March,818.95%,,,,
232,24-10-23,Monitor,Accessories,North,4,1456,431.89,2023,October,2966.28%,,,,
233,22-04-24,Monitor,Accessories,South,6,4038,364.11,2024,April,901.71%,,,,
234,27-06-23,Tablet,Electronics,West,7,5656,355.81,2023,June,629.08%,,,,
235,13-04-23,Mouse,Accessories,West,4,3876,302.37,2023,April,780.11%,,,,
236,19-05-23,Keyboard,Accessories,South,6,1002,114.7,2023,May,1144.71%,,,,
237,15-11-24,Headphones,Accessories,East,9,2187,413.76,2024,November,1891.91%,,,,
238,25-12-23,Mouse,Accessories,North,6,7146,1627.42,2023,December,2277.39%,,,,
239,31-03-22,Keyboard,Accessories,South,1,189,14.88,2022,March,787.30%,,,,
240,24-04-24,Monitor,Accessories,East,5,940,266.02,2024,April,2830.00%,,,,
241,10-01-22,Headphones,Accessories,North,1,951,127.58,2022,January,1341.54%,,,,
242,17-11-22,Printer,Office,East,2,124,27.42,2022,November,2211.29%,,,,
243,29-06-24,Mouse,Accessories,West,9,7506,594.28,2024,June,791.74%,,,,
244,14-11-22,Monitor,Accessories,West,7,8176,2308.76,2022,November,2823.83%,,,,
245,11-08-23,Smartphone,Electronics,East,5,2125,632.68,2023,August,2977.32%,,,,
246,22-05-24,Headphones,Accessories,North,1,967,59.98,2024,May,620.27%,,,,
247,19-03-22,Headphones,Accessories,South,5,270,29.41,2022,March,1089.26%,,,,
248,23-10-22,Keyboard,Accessories,West,9,10035,1486.3,2022,October,1481.12%,,,,
249,26-02-23,Printer,Office,North,8,6792,1125.23,2023,February,1656.70%,,,,
250,03-10-24,Printer,Office,East,1,714,99.13,2024,October,1388.38%,,,,
251,17-07-22,Smartphone,Electronics,South,5,765,157.64,2022,July,2060.65%,,,,
252,04-11-24,Headphones,Accessories,East,7,4221,358.02,2024,November,848.19%,,,,
253,24-02-23,Laptop,Electronics,North,4,2108,576.48,2023,February,2734.72%,,,,
254,08-08-24,Monitor,Accessories,North,9,10530,2387.63,2024,August,2267.45%,,,,
255,14-05-24,Keyboard,Accessories,South,6,3396,914.17,2024,May,2691.90%,,,,
256,15-01-22,Monitor,Accessories,North,4,1060,213.05,2022,January,2009.91%,,,,
257,10-05-22,Tablet,Electronics,East,5,480,73.07,2022,May,1522.29%,,,,
258,10-03-22,Headphones,Accessories,West,3,2529,285.65,2022,March,1129.50%,,,,
259,23-01-22,Smartwatch,Electronics,East,8,4792,511.97,2022,January,1068.38%,,,,
260,19-09-24,Smartwatch,Electronics,East,8,8056,605.8,2024,September,751.99%,,,,
261,06-06-24,Tablet,Electronics,North,4,4228,947.76,2024,June,2241.63%,,,,
262,10-10-24,Tablet,Electronics,East,1,653,93.78,2024,October,1436.14%,,,,
263,24-03-24,Tablet,Electronics,North,9,7452,1212.51,2024,March,1627.09%,,,,
264,21-07-23,Mouse,Accessories,East,4,4128,1156.71,2023,July,2802.11%,,,,
265,21-07-22,Tablet,Electronics,West,5,5090,1201.56,2022,July,2360.63%,,,,
266,01-09-22,Camera,Electronics,North,5,4930,387.33,2022,September,785.66%,,,,
267,20-04-23,Smartwatch,Electronics,South,6,2610,434.37,2023,April,1664.25%,,,,
268,11-12-23,Laptop,Electronics,North,3,2139,415.84,2023,December,1944.09%,,,,
269,29-09-24,Tablet,Electronics,South,1,226,55.4,2024,September,2451.33%,,,,
270,20-11-23,Smartwatch,Electronics,West,2,2244,212.08,2023,November,945.10%,,,,
271,15-07-23,Monitor,Accessories,East,6,3150,578.87,2023,July,1837.68%,,,,
272,24-12-23,Laptop,Electronics,South,7,3388,347.19,2023,December,1024.76%,,,,
273,13-08-23,Laptop,Electronics,East,8,8736,580.31,2023,August,664.27%,,,,
274,24-04-22,Smartphone,Electronics,South,2,1102,176.53,2022,April,1601.91%,,,,
275,13-07-24,Monitor,Accessories,East,3,2640,199.97,2024,July,757.46%,,,,
276,11-06-22,Printer,Office,West,3,2547,300.74,2022,June,1180.76%,,,,
277,28-10-24,Laptop,Electronics,North,7,728,64.82,2024,October,890.38%,,,,
278,24-11-22,Camera,Electronics,South,7,3444,607.44,2022,November,1763.76%,,,,
279,03-10-24,Camera,Electronics,West,5,3140,853.66,2024,October,2718.66%,,,,
280,24-03-24,Smartphone,Electronics,East,3,435,129.27,2024,March,2971.72%,,,,
281,28-06-24,Keyboard,Accessories,East,4,856,72.99,2024,June,852.69%,,,,
282,31-05-22,Printer,Office,North,2,112,23.33,2022,May,2083.04%,,,,
283,25-03-24,Headphones,Accessories,North,3,2247,507.79,2024,March,2259.86%,,,,
284,31-01-23,Keyboard,Accessories,West,2,1512,298.73,2023,January,1975.73%,,,,
285,23-06-24,Mouse,Accessories,South,5,4915,1196.6,2024,June,2434.59%,,,,
286,16-08-23,Mouse,Accessories,South,3,2709,663.54,2023,August,2449.39%,,,,
287,10-06-23,Tablet,Electronics,North,7,1239,118.36,2023,June,955.29%,,,,
288,09-05-23,Tablet,Electronics,West,2,572,86.16,2023,May,1506.29%,,,,
289,08-05-22,Smartwatch,Electronics,North,2,1708,93.25,2022,May,545.96%,,,,
290,06-11-24,Smartwatch,Electronics,North,4,360,42.66,2024,November,1185.00%,,,,
291,08-12-22,Camera,Electronics,North,6,3822,388.34,2022,December,1016.06%,,,,
292,25-09-22,Camera,Electronics,North,6,4680,932.97,2022,September,1993.53%,,,,
293,10-07-24,Camera,Electronics,North,5,2520,487.18,2024,July,1933.25%,,,,
294,29-03-24,Smartwatch,Electronics,North,2,2138,619.29,2024,March,2896.59%,,,,
295,11-01-22,Keyboard,Accessories,West,3,2529,169.6,2022,January,670.62%,,,,
296,08-04-22,Keyboard,Accessories,East,1,236,29.33,2022,April,1242.80%,,,,
297,21-01-24,Tablet,Electronics,West,6,2730,636.48,2024,January,2331.43%,,,,
298,27-04-23,Headphones,Accessories,North,3,3021,872.49,2023,April,2888.08%,,,,
299,06-11-24,Smartwatch,Electronics,North,2,244,16.78,2024,November,687.70%,,,,
300,11-05-22,Camera,Electronics,South,8,728,120.06,2022,May,1649.18%,,,,
301,02-10-22,Mouse,Accessories,North,3,453,89.49,2022,October,1975.50%,,,,
302,12-01-22,Laptop,Electronics,South,1,379,84.38,2022,January,2226.39%,,,,
303,09-01-23,Tablet,Electronics,West,3,2130,510.69,2023,January,2397.61%,,,,
304,04-05-23,Monitor,Accessories,North,8,4120,710.11,2023,May,1723.57%,,,,
305,07-09-24,Smartwatch,Electronics,South,7,3150,299.7,2024,September,951.43%,,,,
306,17-05-22,Smartwatch,Electronics,East,7,2688,603.07,2022,May,2243.56%,,,,
307,17-08-23,Tablet,Electronics,East,2,1752,501.19,2023,August,2860.67%,,,,
308,07-09-23,Keyboard,Accessories,North,7,7308,948.4,2023,September,1297.76%,,,,
309,11-05-22,Tablet,Electronics,North,3,2007,160.84,2022,May,801.40%,,,,
310,12-05-23,Tablet,Electronics,West,7,7224,479.23,2023,May,663.39%,,,,
311,08-05-23,Monitor,Accessories,South,9,6939,1249.31,2023,May,1800.42%,,,,
312,18-02-23,Smartphone,Electronics,East,7,5516,1475.67,2023,February,2675.25%,,,,
313,29-01-22,Printer,Office,South,2,2224,116.47,2022,January,523.70%,,,,
314,12-01-23,Laptop,Electronics,South,5,3985,824.4,2023,January,2068.76%,,,,
315,03-01-22,Camera,Electronics,North,7,2723,638.26,2022,January,2343.96%,,,,
316,20-10-22,Tablet,Electronics,North,2,746,170.75,2022,October,2288.87%,,,,
317,21-08-24,Laptop,Electronics,West,5,3170,245.25,2024,August,773.66%,,,,
318,11-12-23,Smartwatch,Electronics,East,5,550,63.11,2023,December,1147.45%,,,,
319,14-08-22,Tablet,Electronics,North,8,480,132.45,2022,August,2759.38%,,,,
320,03-06-24,Printer,Office,East,4,3284,354.4,2024,June,1079.17%,,,,
321,23-01-24,Smartwatch,Electronics,South,2,1748,183.75,2024,January,1051.20%,,,,
322,20-11-23,Headphones,Accessories,North,8,824,240.84,2023,November,2922.82%,,,,
323,03-03-22,Headphones,Accessories,North,4,1872,448.46,2022,March,2395.62%,,,,
324,20-02-24,Tablet,Electronics,West,3,627,103.98,2024,February,1658.37%,,,,
325,09-08-24,Camera,Electronics,East,9,5661,1104.02,2024,August,1950.22%,,,,
326,19-06-22,Camera,Electronics,North,3,2910,765.47,2022,June,2630.48%,,,,
327,01-09-24,Tablet,Electronics,South,9,9036,1087.46,2024,September,1203.47%,,,,
328,30-08-24,Tablet,Electronics,West,5,4815,338.31,2024,August,702.62%,,,,
329,12-08-22,Mouse,Accessories,South,1,1187,206.28,2022,August,1737.83%,,,,
330,04-08-22,Headphones,Accessories,East,3,3339,732.92,2022,August,2195.03%,,,,
331,20-02-24,Tablet,Electronics,East,1,620,165.43,2024,February,2668.23%,,,,
332,26-02-23,Camera,Electronics,West,5,2025,414.42,2023,February,2046.52%,,,,
333,20-11-24,Printer,Office,East,5,3030,811.92,2024,November,2679.60%,,,,
334,12-08-23,Smartwatch,Electronics,North,5,655,166.69,2023,August,2544.89%,,,,
335,17-01-22,Printer,Office,West,2,2238,294.54,2022,January,1316.09%,,,,
336,12-04-23,Smartphone,Electronics,South,8,3312,811.31,2023,April,2449.61%,,,,
337,26-07-23,Printer,Office,East,9,9387,1271.64,2023,July,1354.68%,,,,
338,01-01-24,Mouse,Accessories,West,6,5790,1285.21,2024,January,2219.71%,,,,
339,06-12-23,Laptop,Electronics,South,6,2700,527.97,2023,December,1955.44%,,,,
340,05-12-23,Smartwatch,Electronics,East,8,2072,555.06,2023,December,2678.86%,,,,
341,27-10-24,Keyboard,Accessories,North,3,2991,716.54,2024,October,2395.65%,,,,
342,04-08-24,Laptop,Electronics,East,6,5568,958.59,2024,August,1721.61%,,,,
343,01-02-23,Smartwatch,Electronics,North,7,5509,1648.74,2023,February,2992.81%,,,,
344,02-06-24,Printer,Office,West,7,5922,1323.1,2024,June,2234.21%,,,,
345,28-04-24,Smartphone,Electronics,South,4,4380,362.81,2024,April,828.33%,,,,
346,25-03-22,Tablet,Electronics,South,5,1760,272.68,2022,March,1549.32%,,,,
347,05-10-24,Headphones,Accessories,North,9,5571,1523.81,2024,October,2735.25%,,,,
348,19-12-24,Tablet,Electronics,South,2,1082,182.1,2024,December,1682.99%,,,,
349,18-07-22,Camera,Electronics,East,1,569,138.11,2022,July,2427.24%,,,,
350,11-06-23,Mouse,Accessories,North,8,3416,697.42,2023,June,2041.63%,,,,
351,13-10-24,Printer,Office,West,1,570,57.07,2024,October,1001.23%,,,,
352,07-08-23,Monitor,Accessories,East,6,3300,386.92,2023,August,1172.48%,,,,
353,04-12-22,Laptop,Electronics,South,8,2584,568.77,2022,December,2201.12%,,,,
354,18-02-24,Monitor,Accessories,South,9,7650,2204.44,2024,February,2881.62%,,,,
355,05-12-24,Headphones,Accessories,West,8,3600,272.51,2024,December,756.97%,,,,
356,15-12-23,Monitor,Accessories,West,6,846,190.87,2023,December,2256.15%,,,,
357,12-08-23,Smartphone,Electronics,West,1,51,9.36,2023,August,1835.29%,,,,
358,20-05-24,Smartwatch,Electronics,South,6,7056,586.91,2024,May,831.79%,,,,
359,05-06-24,Smartwatch,Electronics,West,2,384,38.41,2024,June,1000.26%,,,,
360,09-01-22,Laptop,Electronics,South,8,2928,663.54,2022,January,2266.19%,,,,
361,17-12-23,Camera,Electronics,West,7,1904,352.86,2023,December,1853.26%,,,,
362,08-09-22,Tablet,Electronics,East,2,2314,312.07,2022,September,1348.62%,,,,
363,22-01-22,Printer,Office,South,4,1028,192.13,2022,January,1868.97%,,,,
364,04-09-24,Headphones,Accessories,South,9,8307,1326.23,2024,September,1596.52%,,,,
365,20-01-24,Printer,Office,West,9,1539,203.54,2024,January,1322.55%,,,,
366,03-11-22,Tablet,Electronics,West,7,2506,537.98,2022,November,2146.77%,,,,
367,03-07-23,Smartphone,Electronics,West,6,5778,1232.54,2023,July,2133.16%,,,,
368,25-01-24,Tablet,Electronics,East,9,10188,2165.78,2024,January,2125.81%,,,,
369,11-05-24,Monitor,Accessories,North,1,952,157.7,2024,May,1656.51%,,,,
370,02-01-24,Smartwatch,Electronics,West,8,3624,750.86,2024,January,2071.91%,,,,
371,24-02-23,Keyboard,Accessories,South,8,7968,1551.12,2023,February,1946.69%,,,,
372,20-07-24,Mouse,Accessories,South,2,1254,250.09,2024,July,1994.34%,,,,
373,14-06-23,Printer,Office,West,3,705,196.05,2023,June,2780.85%,,,,
374,10-04-22,Mouse,Accessories,West,1,916,223.5,2022,April,2439.96%,,,,
375,01-10-24,Printer,Office,North,2,848,129.96,2024,October,1532.55%,,,,
376,10-05-22,Monitor,Accessories,East,8,2240,313.17,2022,May,1398.08%,,,,
377,28-01-22,Monitor,Accessories,South,1,940,120.35,2022,January,1280.32%,,,,
378,05-04-23,Headphones,Accessories,West,5,1550,203.51,2023,April,1312.97%,,,,
379,22-09-23,Keyboard,Accessories,South,7,2352,256.4,2023,September,1090.14%,,,,
380,29-08-24,Smartwatch,Electronics,North,9,1638,183.75,2024,August,1121.79%,,,,
381,18-11-23,Camera,Electronics,North,6,7164,1442.72,2023,November,2013.85%,,,,
382,12-09-23,Mouse,Accessories,East,1,205,54.54,2023,September,2660.49%,,,,
383,26-05-23,Keyboard,Accessories,North,2,766,49.23,2023,May,642.69%,,,,
384,30-04-23,Keyboard,Accessories,North,1,168,17.84,2023,April,1061.90%,,,,
385,01-11-24,Mouse,Accessories,South,1,1058,207.55,2024,November,1961.72%,,,,
386,06-05-22,Keyboard,Accessories,South,5,1455,423.81,2022,May,2912.78%,,,,
387,10-05-23,Camera,Electronics,East,2,2224,364.04,2023,May,1636.87%,,,,
388,04-11-22,Smartphone,Electronics,West,7,1400,80.49,2022,November,574.93%,,,,
389,09-05-22,Smartphone,Electronics,East,7,7567,2213.18,2022,May,2924.78%,,,,
390,07-11-22,Tablet,Electronics,East,6,3396,987.68,2022,November,2908.36%,,,,
391,11-08-23,Smartwatch,Electronics,East,2,704,135.63,2023,August,1926.56%,,,,
392,21-10-24,Tablet,Electronics,East,9,7767,2172.19,2024,October,2796.69%,,,,
393,06-10-24,Mouse,Accessories,West,5,2050,157.13,2024,October,766.49%,,,,
394,08-08-23,Monitor,Accessories,North,9,10458,2799.48,2023,August,2676.88%,,,,
395,19-01-22,Camera,Electronics,South,4,4700,619.26,2022,January,1317.57%,,,,
396,30-04-24,Smartphone,Electronics,North,2,892,222.51,2024,April,2494.51%,,,,
397,26-12-23,Laptop,Electronics,East,8,6968,1479.09,2023,December,2122.69%,,,,
398,07-04-24,Laptop,Electronics,North,7,1344,300.88,2024,April,2238.69%,,,,
399,18-10-22,Camera,Electronics,West,1,354,65.99,2022,October,1864.12%,,,,
400,21-04-24,Monitor,Accessories,South,3,3051,662.23,2024,April,2170.53%,,,,
401,26-03-24,Camera,Electronics,South,3,402,106.87,2024,March,2658.46%,,,,
402,31-10-22,Monitor,Accessories,North,5,3570,517.82,2022,October,1450.48%,,,,
403,03-03-23,Keyboard,Accessories,North,7,3829,876.35,2023,March,2288.72%,,,,
404,03-02-23,Mouse,Accessories,North,7,4676,242.64,2023,February,518.91%,,,,
405,15-04-23,Keyboard,Accessories,East,3,1119,317.36,2023,April,2836.10%,,,,
406,09-05-23,Smartphone,Electronics,East,4,4228,764.3,2023,May,1807.71%,,,,
407,02-01-22,Headphones,Accessories,North,8,1240,251.2,2022,January,2025.81%,,,,
408,28-11-24,Keyboard,Accessories,North,9,3591,342.18,2024,November,952.88%,,,,
409,05-02-22,Printer,Office,West,8,3952,451.08,2022,February,1141.40%,,,,
410,05-06-24,Keyboard,Accessories,South,6,3648,1050.08,2024,June,2878.51%,,,,
411,15-11-24,Monitor,Accessories,North,5,3875,768.74,2024,November,1983.85%,,,,
412,13-11-23,Smartwatch,Electronics,West,8,3416,478.9,2023,November,1401.93%,,,,
413,19-02-22,Tablet,Electronics,West,1,908,222.58,2022,February,2451.32%,,,,
414,06-05-24,Headphones,Accessories,South,4,4532,987.32,2024,May,2178.55%,,,,
415,04-08-23,Headphones,Accessories,East,4,4168,650.15,2023,August,1559.86%,,,,
416,23-09-23,Laptop,Electronics,North,3,3543,941.37,2023,September,2656.99%,,,,
